7-Eleven stores were temporarily converted into Kwik E-marts to promote the release of what movie?	THE SIMPSONS MOVIE
According to the Catholic Church,what was the name of the very first Pope?	PETER
According to the classic show about Kevin Arnold,which years were “The Wonder Years”?	1968 TO 1973
According to the Constitution, the U.S. vice president also serves as the what?	PRESIDENT OF THE SENATE
According to the Constitution,a U.S. senator elected in 2010 will be up for reelection in what year?	2016
According to the Dept. of Education,more degrees are earned in what undergraduate major than in any other?	BUSINESS
According to the intro of a classic 1950s TV series,who fights “for truth,justice,and the American way”?	SUPERMAN
According to the Irish playwright George Bernard Shaw,”He who can,does. He who cannot,” does what?	TEACHES
According to the lyrics of a 1964 song,the girl from Ipanema is “tall and thin and young and” what?	LOVELY
According to the lyrics of his 1973 hit song,Jim Croce wishes he “could save” what “in a bottle”?	TIME
According to the National Severe Storms Laboratory,about how wide across is a cloud-to-ground lightning bolt?	ONE INCH
According to the OED,which of these shoe names also describes a person “who spends his time in idleness”?	LOAFER
According to the old sports saying,”The best defense is a good” what?	OFFENSE
According to the results of the 2010 Census,what is the approximate population of the United States?	309 MILLION
According to the term’s rough translation,the vegetable and grain-heavy “macrobiotic diet” purports to offer a what?	LONG LIFE
According to the title of a cable sitcom featuring Danny DeVito, “It’s Always Sunny In” what U.S. city?	PHILADELPHIA
According to the title of a popular folk song, what animal is “in the Straw”?	TURKEY
According to the U.S. Naval Observatory, the average length of a calendar year is 365 days and what?	5 HRS, 49 Min, 12 SEC
According to the U.S. State Dept,127 of the world’s 193 countries have what word in their names?	REPUBLIC
According to their ’80s heavy metal anthem,the Scorpions want to “Rock You Like a” what?	HURRICANE
According to U.S. law,what “should never be carried flat or horizontally,but always aloft and free”?	U.S. FLAG
According to Urban Dictionary, “cookie duster” is a playful term for a what?	MUSTACHE
Acting legend Meryl Streep made her film debut in 1977 in what Oscar-nominated film?	JULIA
Actor Matthew Perry shares his first and last name with a famous American who held what U.S. post?	COMMODORE OF THE NAVY
Actor Paul Rudd had roles in all but which of the following comedy blockbusters?	THE HANGOVER
Actors who gain weight for roles are often compared to Robert De Niro,who packed on 60 pounds for what Scorsese film?	RAGING BULL
Actress Christine Baranski guest stars as Dr. Beverly Hofstadter,Leonard’s mom,on what TV sitcom?	THE BIG BANG THEORY
Actress Estelle Getty is best remembered for a TV role in which she always did which of the following?	WORE A WIG
Actress Kimberly Williams changed her last name to WIlliams-Paisley in 2003 after marrying a famous what?	COUNTRY SINGER
Actress Mackenzie Phillips is the daughter of John Phillips,a singer from what popular music group?	THE MAMAS & THE PAPAS
Actually a combination of three tunnels,the so-called “Chunnel” runs underwater from England to what country?	FRANCE
Adam Sandler, Seth Rogen, and Jonah Hill star in a 2009 movie aptly titled what?	FUNNY PEOPLE
Adapted from a children’s book,Jim Carrey plays a businessman who inherits pets in the movie “Mr.Popper’s” what?	PENGUINS
Adding an “a” to the end of what president’s surname gives the name of a wildly popular 19th-century dance?	JAMES K.POLK
Administrative Professionals Day, once called National Secretaries Day, is observed during what month?	APRIL
Advertised as a “Decision Engine,” Bing is a Web Site most similar in function to which of the following?	GOOGLE
Advertising its low calorie count,Anheuser-Busch offers what brew,dubbed “the lightest beer in the world”?	BUDWEISER SELECT 55
Aesop,the 6th-cetntury Greek author,is primarily known for writing what type of fiction?	FABLES
Afghan Girl was captured as the photo of what magazine?	NATIONAL GEOGRAPHIC
Afrikaans and Zulu are just two of the eleven official languages used by what multilingual nation?	SOUTH AFRICA
After 29 years of calling him her “spousal equivalent,” what “View” co-host finally wed her longtime beau Steve Janowitz in 2011?	JOY BEHAR
After a much-hyped 2011 wedding,which Kardashian filed for divorce just days after marrying NBA player Kris Humphries?	KIM
After a well-publicized breakup,what actor altered his “Winona Forever” tattoo to read “Wino Forever”?	JOHNNY DEPP
After adopting her son there,what actress helped rebuild a school in her newly adopted city of New Orleans?	SANDRA BULLOCK
After directing the pro-Dalai Lama 1997 film “Kundun,” what director found himself banned from China?	MARTIN SCORSESE
After dismal performances,a legendary what inspired the 2010 headline “Houston,We Have a Problem”?	POP SINGER
After her breakout role on “The Cosby Show,” Raven-Symone starred in what aptly-named kids’ show?	THAT’S SO RAVEN
After his departure from CBS in 2011,Charlie Sheen embarked on a nationwide tour called “My Violent Torpedo of” what?	TRUTH
After hosting the season premiere of “Saturday Night Live” in 2011, who became the most frequent SNL host in history?	ALEC BALDWIN
After long struggling with cigarettes,which of these politicians was declared “tobacco free” by his doctor in 2011?	BARACK OBAMA
After losing a whopping 88 pounds in 2011, Latino rapper Fat Joe joked that friends started calling him “Joey” what?	FLACO
After moving to cable,Oprah Winfrey debuted her new primetime talk show in 2012,titled “Oprah’s” what?	NEXT CHAPTER
After nearly 70 days underground,33 men were dramatically rescued in 2010 from a mine in what country?	CHILE
After nearly thirty years on the job,Mary Hart stepped down as host of what TV show in 2011?	ENTERTAINMENT TONIGHT
After picking his running mate for vice president,who wrote in his diary,”It was my decision,and I blew it”?	GEORGE H.W. BUSH
After retirement,”emeritus” is traditionally added to the title of a person with which of these occupations?	COLLEGE PROFESSOR
After retirement,”emeritus” is traditionally added to the title of a person with which of these occupations?	COLLEGE PROFESSORS
After Russia, what is the largest country in the world by land area?	CANADA
After the passing of his father in 2011,Kim Jong-Un became the de facto leader of what nation?	NORTH KOREA
After the U.S. and Russia,what is the only country to have launched a person into space aboard its own rocket?	CHINA
Agreeing that greed is good, what actor’s ex-wife sued him for money earned on a 2010 “Wall Street” sequel?	MICHAEL DOUGLAS
Aibohphobia,which reads the same way forwards and backwards,is the fear of what?	PALINDROMES
Aimed at worn-out parents,the title of a best-selling 2011 kids’ book parody profanely urges kids to do what?	GO TO SLEEP
Air, Gel and Zig are three different technological advances available on certain types of what?	SNEAKERS
Airing in 2011, the reality series “Joan & Melissa” follows the ups and downs between two people of what relation?	MOTHER AND DAUGHTER
Albany and New York City are two major ports on what river?	HUDSON
Ali Wentworth,a popular actress and comedienne,is the wife of what prominent news anchor?	GEORGE STEPHANOPOULOS
All Cabbage Patch dolls feature the signature of their creator,Xavier Roberts,stamped on what part of the body?	BACKSIDE
All three of the popular “CSI” TV dramas feature theme songs performed by what rock band?	THE WHO
Along with Bonaire and Curacao,what “A” island comprises the “ABC Islands”?	ARUBA
Along with his wife Melinda,what billionaire has set a goal of eradicating polio worldwide?	BILL GATES
Also a noted Broadway actor,Paul Lynde was most famous for being a regular guest on what game show?	HOLLYWOOD SQUARES
Also about gangsters and New Jersey,the HBO series “Boardwalk Empire” is set in the ’20s in what town?	ATLANTIC CITY
Also called a “serial” comma,the optional comma placed before the “and” at the end of a written list is called a what?	OXFORD COMMA
Also called a “Whammy bar” a “tremolo arm” is used to affect the pitch of which of these musical instruments?	GUITAR
Also called the “cone of shame,” the plastic collar often worn by dogs after a medical procedure is named what?	ELIZABETHAN COLLAR
Also known as the striped polecat,the zorilla closely resembles what other black and white animal?	SKUNK
Also known as the “Indian Date,” which of these exotic fruits grow inside large,but brittle brown pods?	TAMARIND
Also known as “dysmelodia,” the medical term “amusia” describes someone with what common condition?	TONE DEAFNESS
Also the name of her global empire,Martha Stewart’s eponymous magazine is named “Martha Stewart” what?	LIVING
Although Nebraska is known as the Cornhusker State,what neighboring state annually leads the U.S. in corn production?	IOWA
Although the movie “Fargo” mostly takes place in Minnesota,its title refers to a city in what state?	NORTH DAKOTA
Although they are actually different plant species,in the U.S. sweet potatoes are often called what?	YAMS
Aluminum salt is the active ingredient in which of these common drugstore products?	ANTI PERSPIRANTS
American Idol reject William Hung became an instant celebrity due to his mangled version of what pop song?	SHE BANGS
American skiers should pack a passport if they plan to travel to which of these popular resort towns?	BANFF
An 18-karat gold bracelet is what percent gold?	75 PERCENT
An 1899 poem that begins, “I know what the caged bird feels” inspired the title of whose 1969 memoirs?	MAYA ANGELOU
An 18th century British diplomat, Baron St. Helens lends his name to a famous American what?	MOUNTAIN
An abbreviation of the term “hypertext transfer protocol” typically appears at the beginning of a what?	WEBSITE ADDRESS
An action that makes a bad situation worse is often described as “rubbing” what “into a wound”?	SALT
An Al Pacino movie and a Metallica album both share what title,borrowed from the Pledge of Allegiance?	…AND JUSTICE FOR ALL
An alternate to Equal or Sweet’N Low,Splenda is a sugar substitute that comes in what color packets?	YELLOW
An alternative to the SAT, the ACT is a standardized college entrance exam in which scores range from 1 to what number?	36
An alternative to tofu, seitan is a meat substitute primarily made from what?	WHEAT GLUTEN
An apiculturist does what for a living?	KEEPS BEES
An article on slate.com titled “Frying Nemo” determines whether what animals can truly feel pain?	FISH
An Asian equivalent of a John Deere,which of these animals is known as the “living tractor of the East”?	WATER BUFFALO
An aviation fanatic,what film star is a licensed commercial pilot and flies his own Boeing 707 jet?	JOHN TRAVOLTA
An avid art collector himself,what comedian penned the novel “An Object of Beauty,” about an ambitious young art dealer?	STEVE MARTIN
An earthquake measuring 7.0 on the Richter scale is how many times greater in magnitude than one measuring 5.0?	100 *CORRECT*
An elephant’s tusks correspond to what type of teeth on a human?	INCISORS
An English specialty,shepherd’s pie consists of meat baked in a “crust” made from what hearty side dish?	MASHED POTATOES
An epigraph to what classic novel features the quotation, “You are all a lost generation”?	THE SUN ALSO RISES
An essential component in tango music, the bandoneon is a musical instrument that closely resembles a what?	ACCORDION
An expensive building material, particle board is made by pressing together small pieces of what?	WOOD
An explosive episode of the TV show “MythBusters” proved that what nitrate-rich food can be used to power a rocket?	SALAMI
An iconic 1964 painting by Rene Magritte depicts a businessman in a bowler hat who face is obscured by a what?	APPLE
An iconic road sign located just south of the Las Vegas Strip welcomes visitors to what?	FABULOUS LAS VEGAS
An iconic road sign located just south of the Los Vegas Strip welcomes visitors to what?	FABULOUS LOS VEGAS
An important characteristic of motor oil,viscosity is the ability of a liquid to resist what?	FLOWING
An indefinitely large number is often expressed to what degree?	Nth
An interrosseus part of the human body is, by definition, an area that is situated between two what?	BONES
An iPhone app from Runpee.com advises users on the best time to go to the restroom while doing what?	WATCHING A MOVIE
An ironic allusion to a famous legislator, “The Volstead” in New York City is a cheekily-named what?	BAR
An observation platform is called a crow’s nest and is traditionally found at the top of a what?	BOAT
An ocean-dwelling snail,the sea hare is named for its tentacles that resemble two long what?	EARS
An ode to the president,what R&B group remade an old hit with the 2009 single “Solid(As Barack)”?	ASHFORD & SAMPSON
An oenophile is a person who enjoys what?	WINE
An old myth suggests throwing what food against the wall to determine when it is properly cooked?	SPAGHETTI
An old saying claims that if what will not come to Mohammed,Mohammed will go to it?	THE MOUNTAIN
An old saying,similar to “let the buyer beware,” warns against purchasing what animal “in a poke”?	PIG
An old trick for preventing spilled wine from staining is to quickly apply club soda,then which of these?	SALT
An old way of wondering if a new product or work of art will have mainstream success asks, “Will it play” here?	IN PEORIA
An opthamologist would most likely treat someone suffering from which of these ailments?	GLAUCOMA
An organization for bald men,Bald R Us celebrates its International Bald Holiday on the birthday of what Oscar winner?	YUL BRYNNER
An “estate tax” is typically levied by the government after what life event?	DEATH
Angry over their government’s finance policies,in 2011 protestors in what country started hurling yogurt at police?	GREECE
Annoying to some while fun for others “The Name Game” is a children’s rhyming game,also known as what?	THE BANANA SONG
Annually since 1978,the Kennedy Center has bestowed “Honors” on distinguished people in what field?	PERFORMING ARTS
Anyone who has read “Wuthering Heights” should know that the word “wuthering” means what?	WINDY
Appearing at the end of many country names, the suffix “-stan” originates from what language?	PERSIAN
Appearing in autumn,the harvest moon is one of about how many full moons that occur each year?	12 *CORRECT*
Appearing in over 2600 periodicals around the globe, what is the world’s most widely syndicated comic strip?	GARFIELD
Appropriately, “Family Guy” father Peter Griffin’s middle name is Lowenbrau,a popular ’80s brand of what?	BEER
Appropriately,the letters in the name “Katie Holmes” can be rearranged to form the phrase “She like a” what?	TOM
Appropriately,the Spanish word for heaven,”cielo,” is also the word for what?	SKY
Approximately 10,000 avalanches occur each winter in which of these U.S. states?	UTAH
April 12, 2011, marked the 150th anniversary of what event in U.S. history?	START OF CIVIL WAR
Armbands are popular accessories for which of these tech gadgets?	iPOD
Armistice Day, which later became Veterans Day, originally commemorated the end of what war?	WORLD WAR I
As a boy,Louisiana governor Piyush Jindal named himself “Bobby” after a character on what sitcom?	THE BRADY BUNCH
As a familiar rhyme reminds us,which of these months has more than 30 days?	JULY
As a handy rhyme tells us, how many months have 31 days?	7
As a marketing ploy,what critter is often added to bottles of the Mexican liquor Mezcal?	WORM
As a practitioner of “kinetic sculpture,” artist Alexander Calder pioneered what kid-friendly art form?	MOBILES
As a token of goodwill,in 1909 the city of Tokyo donated to the United States 2,000 what?	CHERRY TREES
As any avid Twitterer knows, the maximum number of characters allowed for a single “tweet” is what?	140
As any fashionista could tell you,what upscale designer’s shoes generally feature a signature red sole?	CHRISTIAN LOUBOUTIN
As any foodie can tell you,a geoduck is a type of what?	CLAM
As any late infomercial knows, in the popular “P90X” workout program, the 90 refers to what?	TOTAL DAYS OF THE PROGRAM
As chefs know,the two succulent bits of meat on the back of a chicken,just above the thigh,are called what?	OYSTERS
As compared to “regular” limes,key limes are typically what?	SMALLER IN SIZE
As conservative in his fashion as he is in his politics,politician Rick Santorum is known to favor what clothing item?	SWEATER VEST
As demonstrated by Egyptian protesters in 2011, Arabs consider it disrespectful to wave which of these at someone?	A SHOE
As demonstrated in the name of the 2011 Super Bowl, how is “45” expressed in Roman numerals?	XLV
As depicted in the “Iron Man” movies,which of these is one of Iron Man’s superpowers?	FLIGHT
As host of the Tonight Show, Johnny Carson famously ended his monologues by pretending to do what?	SWING A GOLF CLUB
As it is technically a legume,which of these “nuts” grows in pods underground rather than on trees?	PEANUT
As its commercials incessantly remind you,which piece of exercise equipment was invented by an ex-Navy SEAL?	PERFECT PUSHUP
As its literal title suggests, “Stuck On You” stars Greg Kinnear and Matt Damon as an affable pair of what?	CONJOINED TWINS
As its name implies, Dwell magazine is dedicated to what subject?	HOME DESIGN
As its name implies, the Guinness World Book of Records was initially published by what kind of business?	BREWERY
As its name implies,Bowfire is a music show featuring several performers who are virtuosos on the what?	FIDDLE
As its name implies,the trench coat is a wardrobe staple originally designed for what group of people?	MILITARY SOLDIERS
As its name suggests, No “Zit” Sherlock is a beauty product that treats what unpleasant condition?	ACNE
As its name suggests, Wookieepedia is an online source of information about what sci-fi movie series?	STAR WARS
As its name suggests,the Web site 1040.com allows users to do which of the following online?	FILE TAXES
As its name suggests,what two letters are prominently displayed in Dos Equis beer logo?	XX
As its title hints at,the 2012 movie “Joyful Noise” features what type of musical acts?	GOSPEL CHOIRS
As Mario and Luigi could tell you,”idraulico” is the Italian word for what professional?	PLUMBER
As Mike “The Situation” Torrentino must know,”six-pack” abs are formed by which of the abdominal muscles?	RECTUS ABDOMINIS
As music legend Prince must surely know,which of these colors is often associated with royalty?	PURPLE
As of 2010, Athina Rousell de Miranda is the only surviving heir to whose vast fortune?	ARISTOTLE ONASSIS
As of 2010, how much does it cost to buy a single issue of the newspaper “USA TODAY”?	1.00_
As of 2010, what daytime show has won more Daytime Emmys than any other show in TV history?	SESAME STREET
As of 2010, what is the only state that does not have mandatory seat belt law for adults?	NEW HAMPSHIRE
As of 2010, which of these historic people has not been depicted on a Pez dispenser?	BENJAMIN FRANKLIN
As of 2010, which of these movie franchises has not released a film in 3D?	BATMAN
As of 2010,which of these Bravo “Real Housewives” has not released a music single?	MICHAELE SALAHI
As of 2011, which of these positions in the U.S. government has been filled by a woman three different times?	SECRETARY OF STATE
As of 2011,how much does it cost to buy a single issue of the newspaper “USA Today”?	$1
As of 2011,what is the earliest age at which a person in the U.S. can collect their Social Security retirement benefits?	62
As of 2011,what southern university has produced three Miss Americas and one William Faulkner?	OLE MISS
As of 2011,which of the following has never been the title of a reality show about making cakes?	CAKE MIX
As of 2011,which of these movie stars has not yet reached the unofficial “retirement age” of 65?	BILL MURRAY
As of 2011,which of these positions in the U.S. government has been filled by a woman three different times?	SECRETARY OF STATE
As of 2012,which of these comedians has never hosted the Academy Awards?	JIMMY FALLON
As of April 2011,residents of which of these U.S. states do not currently pay state income tax?	ALASKA
As part of a recent culinary trend,”locavores” adhere specifically to a strict diet of what?	FOOD GROWN NEAR THEIR HOMES
As part of its 2009 bankruptcy plan,Chrysler agreed to form a partnership with what European automaker?	FIAT
As prolific director Woody Allen once quipped, “Eighty percent of success is” what?	SHOWING UP
As seen in countless movie plots,what government agency oversees the Witness Protection Program?	U.S. MARSHALS
As seen in online videos, a person can create soda geysers by combining Diet Coke with which of these?	MINT MENTOS
As seen on tax refunds from the IRS,checks issued by the U.S. Treasure feature what American landmark?	STATUE OF LIBERTY
As suggested by its quirky style, the 2010 film “Scott Pilgrim vs. The World” is based on an original what?	GRAPHIC NOVEL
As suggested by the food company he created,chef Hector Boiardi specialized in what cuisine?	ITALIAN
As the title of a 2006 documentary puts its, “Who is Harry Nilsoon (And Why Is Everyone Talking About Him)?”	A SINGER
As the “Fresh Prince” theme music tells us,Will Smith was born and raised where?	WEST PHILADELPHIA
As those who observe it well know, lent traditionally lasts how long?	40 DAYS
Asthma is a medical condition that primarily affects what bodily system?	RESPIRATORY
Astigmatism is a medical condition that can often be corrected by which of these surgeries?	LASIK SURGERY
At 1.98 millimeters thick, which of these U.S. coins is the thickest?	NICKEL
At a 2007 charity auction,the winner paid $64,800 for a saxophone belonging to what former U.S. president?	BILL CLINTON
At a recycling plant,which of these materials would be categorized as either “ferrous” or “nonferrous”?	SCRAP METAL
At birth,Hillary Clinton was given what middle name?	DIANE
At Chicago’s Museum of Science and Industry,the Tesla Coil is used to simulate what natural event?	LIGHTNING STORM
At Chinese restaurants,which of these menu items is traditionally deep-fried?	EGG ROLL
At Disneyland Paris,”Le Chateau de la Belle au Bois Dormant” is the castle for what fairy tale heroine?	SLEEPING BEAUTY
At five feet eleven inches, Michelle Obama is tied with whom for tallest First Lady?	ELEANOR ROOSEVELT
At health spas, slices of what vegetable are commonly placed over a person’s eyes to reduce swelling?	CUCUMBERS
At his 2011 Comedy Central roast,who playfully compared his famous hair to that of a “wet raccoon”?	DONALD TRUMP
At just 18,Jason Bateman became the youngest person to join the Director’s Guild after directing an episode of what sitcom?	THE HOGAN FAMILY
At the 1936 Olympics, Jesse Owens shocked the host nation by winning 4 golds in what event?	TRACK AND FIELD
At the 2010 VMA’s,who picked up her “Video of the Year” award wearing a dress fashioned out of raw meat?	LADY GAGA
At the 2011 North American International auto show, what automaker unveiled a new, roomier midsize Passat?	VOLKSWAGEN
At the beginning of a game of chess,what pieces occupy the four corners of the board?	ROOKS
At the end of each episode, which of these reality shows asks the losing contestant to “sashay away”?	RUPAUL’S DRAG RACE
At the end of the 1953 movie “Shane,” what does the little boy famously yell as Shane rides off into the sunset?	COME BACK!
At the end of “The Breakfast Club,” Molly Ringwald gives Judd Nelson her what?	DIAMOND EARRING
At the National Spelling Bee,official “pronouncers” may provide all but which of the following to the spellers?	SYNONYMS
At the Smithsonian’s National Portrait Gallery,whose portrait depicts him holding a computer disk?	BILL GATES
At the start of a chess match, the basic opening move E2-E4 involves moving what game piece?	PAWN
At the State of the Union address,who usually sits with the vice president right behind the U.S. president?	SPEAKER OF THE HOUSE
At which of these food retailers are about 80% of the products on the shelves the store’s own brand?	TRADER JOE’S
At which of these places would a person most likely find a book called a hymnal?	CHURCH
At whose Presidential library may visitors listen to a copy of the infamous “Smoking Gun” tape?	RICHARD NIXON
ATM’s in London that offer instructions in Cockney slang ask you for your “Huckleberry Finn” instead of your what?	PIN
Attempting to liken the phone to a newborn baby,the engineer who sent the first text message in the U.S. wrote what?	BURP
Aubergine, the British term for an eggplant, is also the name of a shade of what color?	DARK PURPLE
Audiences sang the lyrics “summer fling,don’t mean a thing” at a 2010 “Sing-A-Long” re-release of what movie musical?	GREASE
Author and etiquette guru Judith Martin writes a newspaper column under the pen name “Miss” what?	MANNERS
Author Gabriel Garcia Marquez is best known for his masterpiece “One Hundred Years of” what?	SOLITUDE
Available to download on your iPod, Radio Lingua offers users lessons on what?	FOREIGN LANGUAGES
Awarded to about 20 to 40 U.S. citizens each year,the MacArthur Foundation’s annual grant has what nickname?	GENIUS GRANT
Backyard gas grills are commonly fueled by a liquid form of what compound?	PROPANE
Ballerina Sarah Lane made headlines by claiming that Natalie Portman only did 5 percent of the dancing in what film?	BLACK SWAN
Banksy, a wildly popular contemporary artist, is best known for what kind of works?	GRAFFITI PAINTINGS
Banned in some areas,the controversial method by which natural gas is extracted from rock formations is known as what?	HYDROFRACKING
Barack Obama’s 1st name is derived from a Semetic word meaning what?	Blessed
Bartlett,Bosc and Comice are popular varieties of what kind of fruit?	PEAR
Baseball’s Brooklyn Dodgers got its name from fans who “dodged” what on their way to home games?	TROLLEYS
Based on a true story, the 2010 film “127 Hours” stars James Franco as Aron Ralston, a courageous what?	MOUNTAIN CLIMBER
Based on events of the 1976 Soweto riots, the Broadway musical “Sarafina!” is set in what country?	SOUTH AFRICA
Based on France’s “24 hours of Le Mans,” America’s “24 hours of Le Mons” is a race involving what?	CARS
Based on the childrens’ books, the main characters of the Nick Jr TV show “Olivia” are what animals?	PIGS
Based on the foreign film “8 1/2,” the Broadway musical “Nine” features what aptly-titled song?	BE ITALIAN
Basic Enlisted Submarine School is a training course offered by which branch of the U.S. military?	NAVY
Basra is the chief port of which Persian Gulf country?	IRAQ
Bateau,scoop and sweetheart are terms used to refer to different styles of a dress’s what?	NECKLINE
Bearnaise, a classic French sauce served with steak, is traditionally flavored with which of these herbs?	TARRAGON
Because he grew up with it,which of these actors would not have to fake an Irish accent?	COLIN FARRELL
Because he ostensibly works in the fields all day,what ad icon sports a wide-brimmed hat?	JUAN VALDEZ
Because he produced over 350 low-budget films,what filmmaker is known as the “King of the B-Movies”?	ROGER CORMAN
Because he shares his name with his late father,what NASCAR superstar is popularly known as “Junior”?	DALE EARNHARDT
Because he thought it would improve people’s spirits,in 1920 Harry Burt named his ice-cream-on-a-stick invention what?	GOOD HUMOR BAR
Because he was a housekeeper,what TV father had the lowest-paying job in Salary.com’s “TV Dad Salary Analysis”?	TONY MICELLI
Because he “unconsciously plagerized” it, what artist shares his “Forever Young” royalties with Bob Dylan?	ROD STEWART
Because it can only play one note at a time,which of the following is a monophonic musical instrument?	TRUMPET
Because it causes painful throat contractions that make swallowing water difficult,rabies is also called what?	HYDROPHOBIA
Because it consists of seven installments,which of these popular book series is considered a “heptalogy”?	HARRY POTTER
Because it contains espresso,which of these dessert names literally means “pick-me-up” in Italian?	TIRAMISU
Because it contains liquid, passengers may not carry which of these New York souvenirs on board an airplane?	MANHATTAN SNOW GLOBE
Because it doesn’t contain yeast,which of these breads is considered a quick bread?	CORN BREAD
Because it featured many of its core “members,” which of these ’80s movies is considered a “Brat Pack” film?	ST.ELMO’S FIRE
Because it features a dead character’s secrets,the TV drama “Pretty Little Liars” has been called a teen version of what?	DESPERATE HOUSEWIVES
Because it focuses on the relationship of its two male stars, which of these films is called a “bromance”?	I LOVE YOU MAN
Because it has the lowest boiling point of any substance,what element is used as a cooling agent in MRIs?	HELIUM
Because it is a fictionalized account of the author’s real life, which of these novels is considered a “roman a clef”?	THE DEVIL WEARS PRADA
Because it is a fictionalized account of the author’s real life,which of these novels is considered a “roman a la clef”?	THE DEVIL WEARS PRADA
Because it is considered disrespectful to the monarchy,what movie musical is reportedly banned in Thailand?	THE KING AND I
Because it is easy to raise and has a mild taste, what extremely popular fish is known as “aquatic chicken”?	TILAPIA
Because it is often called “Roquette” in French, which of these gourmet salad greens is commonly referred to as “rocket”?	ARUGULA
Because it is primarily spread through saliva,what illness is popularly known as the “kissing disease”?	MONONUCLEOSIS
Because it is produced by the body,which of these vitamins is classified as a hormone?	VITAMIN D
Because it is released in stressful situations, which of these is known as the “fight or flight” hormone?	ADRENALINE
Because it is similar in texture,which of these fish is often called the “poor man’s lobster”?	MONKFISH
Because it is sold in multiples of 64, computer RAM, or memory, is unavailable in which of these sizes?	878 MB
Because it is thought to be easier than other sciences,what college course is nicknamed “Rocks for Jocks?”	GEOLOGY
Because it lacks a developed sense of smell,the great horned owl is one of the biggest predators of what animal?	SKUNK
Because it means “gentlemen,” which of these words often marks the way to men’s restrooms in Spanish-speaking places?	CABALLEROS
Because it possesses both male and female reproductive organs, which animal is classified as a hermaphrodite?	EARTHWORM
Because it resembles the exercise equipment, tongue-piercing jewelry is often referred to as a what?	BARBELL
Because it was built for him,the prominent White House balcony overlooking the South Lawn is known as the what?	TRUMAN BALCONY
Because it was invented by Eugene Rimmell in the 1800s, “rimmel” is used in France to refer to what cosmetic?	MASCARA
Because it was the highest point on the Ohio & Erie Canal,what city’s name derives from the Greek word for “high place”?	AKRON
Because its members are all related to a man named Leon, a rock band formed in 2000 has what name	KINGS OF LEON
Because its presidential namesake had no middle initial, a Utah grade school goofed by giving itself what name?	JAMES A. MADISON
Because its spelling was not firmly established at the time, what word is misspelled on the Liberty Bell?	PENNSYLVANIA
Because it’s a synonym, which of these French words could be considered a nickname for the word “nickname”?	SOBRIQUET
Because it’s not evergreen,which of the following species would make a terrible Christmas tree?	SILVER MAPLE
Because it’s spicy and made with tomato juice,the Michelada has been called a Mexican version of what classic drink?	BLOODY MARY
Because it’s synthetic,which of these fabrics can be,and often is,made out of recycled plastic water bottles?	POLAR FLEECE
Because it’s trademarked,which of these coffee drinks is only made by Starbucks?	FRAPPUCCINO
Because of a novel by Vladimir Nabokov, what name has come to mean “a seductive young girl”?	LOLITA
Because of how they are paid, what Hollywood professionals are known as “tenpercenters?”	TALENT AGENTS
Because of its abundance of bright lights, what New York city landmark is called “The Great White Way”?	BROADWAY
Because of its population, which state elects two senators but only one representative to Congress?	DELAWARE
Because of its shape, which of these comfy chairs is sometimes referred to as a “dish chair”?	PAPASAN CHAIR
Because of the motions involved,what activity is thought to help children correct a pigeon-toed gait?	BALLET
Because of the way it looks, sneezing into the crook of your arm is commonly called a what?	DRACULA SNEEZE
Because of their unique shape, TiVo remote controls are often playfully referred to as what?	PEANUTS
Because people aren’t using it much, what term was scrapped from the New Oxford American Dictionary in 2005?	INFORMATION SUPERHIGHWAY
Because she held over 40 different patents,inventor Beulah Louise Henry was popularly known by what nickname?	LADY EDISON
Because the American “r” sound is rarely pronounced, in what country is Ronald McDonald called “Donald McDonald?”	JAPAN
Because the country is at such high altitude,Tibet is known by what “homey” nickname?	THE ROOF OF THE WORLD
Because the government requires it,most enriched grain products in the U.S. are fortified with what?	FOLIC ACID
Because the process renders it undesirable,which of these vegetables is not typically sold in cans?	BROCCOLI
Because the Roman calender began on March 1st,what month’s name comes from the Latin for “tenth”?	DECEMBER
Because the storms were so destructive,all but which of these hurricane names have been retired?	IDA
Because they contain nitrogen,what beer’s bubbles appear to float downward when poured into a glass?	GUINNESS DRAUGHT
Because they give off a fluorescent glow when lit with them,black lights are used to detect which of these pests?	SCORPIONS
Because they lack extra strokes on their letters, fonts like “Arial” and “Helvetica” are called “sans” what?	SERIF
Because ultra-violet rays prompt the body to produce it, Vitamin D is often referred to by what nickname?	SUNSHINE VITAMIN
Because we typically eat the fleshy part of its root, which of these foods is considered a root vegetable?	TURNIP
Becoming popular in the U.S.,the Greek brand FAGE is a “strained” version of what dairy product?	YOGURT
Before Barack Obama,who was the last sitting U.S. senator to become president?	JOHN F. KENNEDY
Before Barbara Bush, what First Lady’s husband and son both served as U.S. president?	ABIGAIL ADAMS
Before becoming a famous actor,who won a televised contest naming him “America’s Toughest Bouncer”?	MR. T
Before becoming a successful film director, Rob Reiner played Michael Stivic on what classic sitcom?	ALL IN THE FAMILY
Before becoming a supermodel,which of these women attended the Univeristy of Nairobi?	IMAN
Before becoming a TV mom, what was Kate Gosselin’s profession?	REGISTERED NURSE
Before becoming vice president, Joe Biden served as what state’s U.S. senator for 36 years?	DELAWARE
Before beginning her solo career, Aimee Mann was the lead singer of what 1980s pop band?	TIL TUESDAY
